2016-11-03 15:45:05,238 74395    1478205905	localhost:6703	  8:exclaim1   	__emit-count           	{default=960}
2016-11-03 15:45:05,239 74396    1478205905	localhost:6703	  8:exclaim1   	__process-latency      	{word:default=1.0}
2016-11-03 15:45:05,239 74396    1478205905	localhost:6703	  8:exclaim1   	__receive              	{arrival_rate_secs=14.709063378758382, overflow=0, read_pos=945, write_pos=946, sojourn_time_ms=67.98529411764706, capacity=1024, population=1}
2016-11-03 15:45:05,239 74396    1478205905	localhost:6703	  8:exclaim1   	__transfer-count       	{default=960}
2016-11-03 15:45:05,239 74396    1478205905	localhost:6703	  8:exclaim1   	__ack-count            	{word:default=140}
2016-11-03 15:45:05,239 74396    1478205905	localhost:6703	  8:exclaim1   	__execute-latency      	{word:default=1.0}
2016-11-03 15:45:05,239 74396    1478205905	localhost:6703	  8:exclaim1   	__fail-count           	{}
2016-11-03 15:45:05,239 74396    1478205905	localhost:6703	  8:exclaim1   	__sendqueue            	{arrival_rate_secs=14.868394615230057, overflow=0, read_pos=945, write_pos=945, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,239 74396    1478205905	localhost:6703	  8:exclaim1   	__execute-count        	{word:default=40}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  7:exclaim1   	__emit-count           	{default=1020}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  7:exclaim1   	__process-latency      	{word:default=1.0}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  7:exclaim1   	__receive              	{arrival_rate_secs=16.98031581224313, overflow=0, read_pos=1023, write_pos=1024, sojourn_time_ms=58.891719745222936, capacity=1024, population=1}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  7:exclaim1   	__transfer-count       	{default=1020}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  7:exclaim1   	__ack-count            	{word:default=80}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  7:exclaim1   	__execute-latency      	{word:default=1.0}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  7:exclaim1   	__fail-count           	{}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  7:exclaim1   	__sendqueue            	{arrival_rate_secs=17.13018943974204, overflow=0, read_pos=1023, write_pos=1023, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  7:exclaim1   	__execute-count        	{word:default=200}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  9:exclaim1   	__emit-count           	{default=960}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  9:exclaim1   	__process-latency      	{word:default=1.0}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  9:exclaim1   	__receive              	{arrival_rate_secs=17.28608470181504, overflow=0, read_pos=949, write_pos=950, sojourn_time_ms=57.85, capacity=1024, population=1}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  9:exclaim1   	__transfer-count       	{default=960}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  9:exclaim1   	__ack-count            	{word:default=100}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  9:exclaim1   	__execute-latency      	{word:default=1.3}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  9:exclaim1   	__fail-count           	{}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  9:exclaim1   	__sendqueue            	{arrival_rate_secs=16.817724068479354, overflow=0, read_pos=949, write_pos=949, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	  9:exclaim1   	__execute-count        	{word:default=200}
2016-11-03 15:45:05,240 74397    1478205905	localhost:6703	 11:exclaim2   	__emit-count           	{default=1500}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 11:exclaim2   	__process-latency      	{exclaim1:default=1.0}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 11:exclaim2   	__receive              	{arrival_rate_secs=19.326279421291297, overflow=0, read_pos=1213, write_pos=1214, sojourn_time_ms=51.743016759776545, capacity=1024, population=1}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 11:exclaim2   	__transfer-count       	{default=0}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 11:exclaim2   	__ack-count            	{exclaim1:default=20}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 11:exclaim2   	__execute-latency      	{exclaim1:default=1.0}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 11:exclaim2   	__fail-count           	{}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 11:exclaim2   	__sendqueue            	{arrival_rate_secs=0.0, overflow=0, read_pos=-1, write_pos=-1, sojourn_time_ms=0.0, capacity=1024, population=0}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 11:exclaim2   	__execute-count        	{exclaim1:default=100}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	uptimeSecs             	74.448
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__transfer-count       	{}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__ack-count            	{}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={}}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	newWorkerEvent         	1
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__send-iconnection     	{6701/2dc10ebb-b5ac-4db2-85f8-f2b19dee2797={reconnects=1, src=/10.74.126.36:60386, pending=0, dest=localhost/10.74.126.36:6701, sent=3, lostOnSend=0}}
2016-11-03 15:45:05,241 74398    1478205905	localhost:6703	 -1:__system   	__fail-count           	{}
